round,frame_id,object,action,rule_or_reason
1,frame_0182.jpg,"xe SUV/van tối bị cắt ở mép dưới giữa ảnh (x 466-625, y 628-718), khớp vị trí 1 trong BLIND_SCAN",added,"Pre-label bỏ sót. GUIDELINE: xe bị cắt ở mép ảnh -> chỉ vẽ phần nằm trong ảnh; vẽ theo thân xe đoán được, không cần thấy đèn"
1,frame_0182.jpg,"xe đi xa ở góc dưới phải trong vệt lóa xanh (x 947-1148, y 615-718), khớp vị trí 2 trong BLIND_SCAN",added,"Pre-label bỏ sót. Xe bị cắt ở mép dưới -> box phần trong ảnh; không kéo box theo vệt lóa ống kính"
1,frame_0182.jpg,"box P12 (x 592-643, y 312-349) ôm hai xe xếp chồng ở làn xa",deleted,"GUIDELINE: hai xe đứng sát nhau -> vẽ hai box riêng. Giữ box P8 cho xe dưới, thêm box riêng (x 592-639, y 302-324) cho xe trên"
1,frame_0182.jpg,"xe trên nhánh rẽ bên phải chỉ thấy đèn hậu (x 975-1028, y 292-316)",added,"Chỉ thấy đèn nhưng đoán được đường viền thân xe -> vẽ box theo thân xe quanh cụm đèn"
1,frame_0331.jpg,"box P18 (x 489-558, y 395-444) nằm trên mặt đường sáng, không có xe",deleted,"GUIDELINE: ánh đèn phản chiếu trên mặt đường -> không gán nhãn (FP của model)"
1,frame_0331.jpg,"box P15 (x 442-557, y 391-450) trùng với box P14 của cùng một xe",deleted,"Box trùng -> xoá, giữ box P14 ôm sát xe"
1,frame_0331.jpg,"box P4 ôm cả hai xe chiều đi xa (x 864-937, y 342-382)",edited,"Hai xe sát nhau -> thu box về xe bên phải (x 908-938); xe bên trái đã có box P19"
1,frame_0312.jpg,"box P9 lớn (x 801-984, y 377-474) ôm nhiều xe ở chiều đi xa",deleted,"Box không tương ứng một xe nào; thay bằng box riêng cho xe bị bỏ sót (x 893-983, y 421-472)"
1,frame_0312.jpg,"xe tải thùng trắng ở làn đi xa (x 580-724, y 272-362)",added,"Pre-label bỏ sót. GUIDELINE: xe tải/đầu kéo thuộc lớp car"
1,frame_0270.jpg,"xe tải chở hàng lớn ở giữa ảnh (x 443-546, y 384-524)",added,"Pre-label bỏ sót xe tải rõ ràng; xe từ 4 bánh trở lên -> car"
1,frame_0227.jpg,"box P10 xe van (x 291-423, y 340-493) ôm lấn sang xe con bên trái",edited,"Box lệch -> kéo lại ôm sát xe van (x 320-423, y 366-492); thêm box riêng cho xe con bên trái"
1,frame_0107.jpg,"box P7 (x 383-444, y 338-404) kéo lên phần xe phía trên",edited,"Box lệch -> thu về thân xe (y 354-405); xe phía trên được vẽ box riêng"
1,frame_0380.jpg,"xe có đèn pha sáng giữa ảnh (x 602-666, y 380-419)",added,"Pre-label bỏ sót xe gần, nhìn rõ đèn và thân -> thêm box"
1,frame_0099.jpg,"xe con tối ở làn trái phía dưới (x 295-405, y 555-653)",accepted,"Box ôm sát thân xe, không tính vệt đèn trên đường -> giữ nguyên"
